State,District,Latitude,Longitude,District code,Population,Households_with_Internet,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.28451395,78.81321233,532,2741239,5512,100,54
Andhra Pradesh,Anantapur,14.31206556,77.46015845,553,4081148,8606,98,57
Andhra Pradesh,Chittoor,13.33109263,78.92763899,554,4174064,13763,100,64
Andhra Pradesh,East Godavari,16.78271832,82.24320747,545,5154296,22411,101,64
Andhra Pradesh,Guntur,15.88492577,80.58657614,548,4887813,19383,100,61
Andhra Pradesh,Hyderabad,17.38971556,78.46668889,536,3943323,149034,95,73
Andhra Pradesh,Karimnagar,18.51548319,79.43765429,534,3776269,8831,101,58
Andhra Pradesh,Khammam,17.68392133,80.67008644,541,2797370,8628,101,58
Andhra Pradesh,Krishna,16.14387275,81.14805061,547,4517398,30438,99,67
Andhra Pradesh,Kurnool,15.43759715,77.90086837,552,4053463,10081,99,52
Andhra Pradesh,Mahbubnagar,16.63954622,77.98933089,538,4053028,6153,98,48
Andhra Pradesh,Medak,17.88930498,78.13778902,535,3033288,8635,99,54
Andhra Pradesh,Nalgonda,17.11325052,79.16984454,539,3488809,7715,98,57
Andhra Pradesh,Nizamabad,18.42948585,78.07523491,533,2551335,5261,104,54
Andhra Pradesh,Prakasam,15.489039,80.1166579,549,3397448,6151,98,56
Andhra Pradesh,Srikakulam,18.570901,84.25874814,542,2703114,3988,101,55
Andhra Pradesh,Vizianagaram,18.28329696,83.45982854,543,2344474,4453,102,53
Andhra Pradesh,Warangal,18.01752609,79.87422029,540,3512576,12952,100,59
Andhra Pradesh,West Godavari,16.63297944,81.45912991,546,3936966,12050,100,67
Arunachal Pradesh,Changlang,27.36048479,96.37552645,253,148226,170,93,49
Arunachal Pradesh,East Kameng,27.37119406,93.04741486,247,78690,57,103,49
Arunachal Pradesh,East Siang,28.15382353,95.06499226,251,99214,450,98,63
Arunachal Pradesh,Kurung Kumey,28.04853352,93.24531994,256,92076,95,103,40
Arunachal Pradesh,Lohit,27.94678527,96.59670771,259,145726,312,91,57
Arunachal Pradesh,Lower Dibang Valley,28.3265173,95.76567336,258,54080,207,93,59
Arunachal Pradesh,Lower Subansiri,27.70849297,93.96226108,255,83030,381,98,65
Arunachal Pradesh,Papum Pare,27.27352972,93.54468184,248,176573,2477,98,69
Arunachal Pradesh,Tawang,27.68068396,91.82504245,245,49977,96,71,52
Arunachal Pradesh,Tirap,26.9440623,95.41470328,254,111975,98,94,43
Arunachal Pradesh,Upper Siang,28.83092449,95.00155765,252,35320,97,89,52
Arunachal Pradesh,Upper Subansiri,28.27719657,93.89914356,249,83448,139,100,54
Arunachal Pradesh,West Kameng,27.46486582,92.6501575,246,83947,202,82,58
Arunachal Pradesh,West Siang,28.10629692,94.53510344,250,112274,303,93,58
Assam,Barpeta,26.42787226,90.9791201,303,1693622,2078,95,53
Assam,Bongaigaon,26.45012522,90.67342962,319,738804,2523,97,59
Assam,Cachar,24.81557067,92.8684965,316,1736617,5316,96,68
Assam,Darrang,26.58463216,92.04141338,325,928500,1166,95,52
Assam,Dhemaji,27.58653344,94.71336909,308,686133,1192,95,62
Assam,Dibrugarh,27.30612284,95.09982823,310,1326335,8817,96,67
Assam,Goalpara,26.01727778,90.59869892,302,1008183,1364,96,56
Assam,Golaghat,26.37721971,93.82583398,313,1066888,3073,96,68
Assam,Hailakandi,24.45749609,92.59154665,318,659296,1211,95,62
Assam,Jorhat,26.76244824,94.30197723,312,1092256,5651,96,73
Assam,Kamrup,26.17093945,91.58863274,321,1517542,3109,95,66
Assam,Karbi Anglong,26.08966455,93.1153657,314,956313,1923,95,58
Assam,Karimganj,24.69660712,92.36794986,317,1228686,1933,96,65
Assam,Kokrajhar,26.49724664,90.13997471,300,887142,1218,96,55
Assam,Lakhimpur,27.14128806,94.07759493,307,1042137,1948,97,66
Assam,Nagaon,26.26462171,92.93061911,305,2823768,5121,96,61
Assam,Nalbari,26.46323768,91.40598521,323,771639,1631,95,69
Assam,Sonitpur,26.73514927,92.85197805,306,1924110,4358,96,58
Assam,Tinsukia,27.53549291,95.69055949,309,1327929,5135,95,60
Bihar,Araria,26.21152812,87.30766555,209,2811569,2561,92,43
Bihar,Aurangabad,24.77429187,84.45986024,235,2540073,2362,93,58
Bihar,Aurangabad,24.77429187,84.45986024,515,3701282,23258,92,68
Maharashtra,Aurangabad,20.09792288,75.32072197,235,2540073,2362,93,58
Maharashtra,Aurangabad,20.09792288,75.32072197,515,3701282,23258,92,68
Bihar,Banka,24.83235564,86.86649163,225,2034763,1704,91,47
Bihar,Begusarai,25.54302613,86.12560144,222,2970541,4644,89,52
Bihar,Bhagalpur,25.27719289,87.04213814,224,3037766,6764,88,52
Bihar,Bhojpur,25.50666439,84.49407803,231,2728407,3661,91,59
Bihar,Buxar,25.48593019,84.08808082,232,1706352,1784,92,58
Bihar,Darbhanga,26.14618772,85.97387352,215,3937385,6280,91,46
Bihar,Gaya,24.72665415,84.94291218,236,4391418,6856,94,52
Bihar,Gopalganj,26.44874364,84.34636127,217,2562012,3707,102,54
Bihar,Jamui,24.7841838,86.26316298,238,1760405,1839,92,49
Bihar,Jehanabad,25.15567905,84.92081245,239,1125313,1106,92,55
Bihar,Katihar,25.56565356,87.70466084,212,3071029,2941,92,42
Bihar,Khagaria,25.53558891,86.56593256,223,1666886,1580,89,46
Bihar,Kishanganj,26.32433676,87.95045007,210,1690400,1093,95,44
Bihar,Lakhisarai,25.18344932,86.12825701,227,1000912,1186,90,51
Bihar,Madhepura,25.77341929,86.8978444,213,2001762,1397,91,42
Bihar,Madhubani,26.41380538,86.1632836,207,4487379,5319,93,48
Bihar,Munger,25.19853796,86.54173673,226,1367765,2653,88,59
Bihar,Muzaffarpur,26.18664417,85.32745092,216,4801062,10290,90,52
Bihar,Nalanda,25.22934551,85.48053114,229,2877653,4156,92,53
Bihar,Nawada,24.82570884,85.61594569,237,2219146,1841,94,49
Bihar,Pashchim Champaran,27.16064352,84.30265912,203,3935042,3495,91,45
Bihar,Patna,25.40297115,85.31984336,230,5838465,40692,90,59
Bihar,Purba Champaran,26.68129337,85.00382156,204,5099371,7719,90,45
Bihar,Purnia,25.81714802,87.40447607,211,3264619,4170,92,41
Bihar,Rohtas,24.99170461,83.93507627,234,2959918,4594,92,61
Bihar,Saharsa,25.8212707,86.5467082,214,1900661,1668,91,42
Bihar,Samastipur,25.79320556,85.94833323,221,4261566,5379,91,50
Bihar,Saran,25.89656078,84.82266287,219,3951862,4509,95,55
Bihar,Sheikhpura,25.12472437,85.77839391,228,636342,631,93,52
Bihar,Sheohar,26.45838075,85.29539412,205,656246,478,89,43
Bihar,Sitamarhi,26.5657007,85.61172491,206,3423574,3460,90,42
Bihar,Siwan,26.1736372,84.33766553,218,3330464,3834,99,58
Bihar,Supaul,26.28157894,86.78496465,208,2229076,1845,93,46
Bihar,Vaishali,25.81347032,85.39247597,220,3495021,4810,89,55
Chandigarh,Chandigarh,30.7426,76.75872466,55,1055450,44283,82,76
Chhattisgarh,Bastar,19.39386675,81.52895127,414,1413199,1782,102,46
Chhattisgarh,Bilaspur,22.35694298,81.99770351,30,381956,1574,98,75
Chhattisgarh,Bilaspur,22.35694298,81.99770351,406,2663629,8566,97,60
Himachal Pradesh,Bilaspur,31.37804229,76.65316079,30,381956,1574,98,75
Himachal Pradesh,Bilaspur,31.37804229,76.65316079,406,2663629,8566,97,60
Chhattisgarh,Dhamtari,20.55491263,81.75691955,412,799781,1016,101,68
Chhattisgarh,Durg,21.19446385,81.3318164,409,3343872,16141,99,69
Chhattisgarh,Jashpur,22.77286168,83.87039621,402,851669,567,101,58
Chhattisgarh,Korba,22.4917125,82.57604327,404,1206640,4544,97,62
Chhattisgarh,Koriya,23.50412777,82.12515636,400,658917,1667,97,60
Chhattisgarh,Mahasamund,21.22372704,82.65925427,411,1032754,961,102,62
Chhattisgarh,Raigarh,22.00826507,83.27797699,403,1493984,3342,99,64
Chhattisgarh,Raigarh,22.00826507,83.27797699,520,2634200,38570,96,74
Maharashtra,Raigarh,18.45325764,73.00906094,403,1493984,3342,99,64
Maharashtra,Raigarh,18.45325764,73.00906094,520,2634200,38570,96,74
Chhattisgarh,Raipur,20.88603154,82.2003276,410,4063872,20261,98,65
Chhattisgarh,Surguja,23.32719279,83.23582494,401,2359886,2737,98,50
Daman and Diu,Daman,20.43161667,72.83923661,495,191173,1316,53,79
Daman and Diu,Junagadh,20.72568199,70.8398564,479,2743082,6628,95,67
Gujarat,Junagadh,20.92952301,70.5473389,479,2743082,6628,95,67
Goa,North Goa,15.54872342,73.80667998,585,818008,23440,96,81
Goa,South Goa,15.19527866,73.9417926,586,640537,17624,99,78
Gujarat,Ahmadabad,22.60542556,72.23898136,474,7214225,126341,90,75
Gujarat,Amreli,21.04832649,71.43457638,480,1514190,2538,96,66
Gujarat,Anand,22.28271821,72.57782052,482,2092745,9902,92,74
Gujarat,Banas Kantha,24.25853897,71.93205253,469,3120506,3424,94,55
Gujarat,Bharuch,21.75787276,72.67326347,488,1551019,10257,93,72
Gujarat,Bhavnagar,21.7021939,72.16272633,481,2880365,7297,93,66
Gujarat,Gandhinagar,23.19367979,72.6722168,473,1391753,12107,92,74
Gujarat,Jamnagar,22.41060041,69.62062006,477,2160119,11573,94,65
Gujarat,Kachchh,23.48057203,68.82192301,468,2092371,9631,91,60
Gujarat,Kheda,22.88765313,73.01880352,483,2299885,5710,94,72
Gujarat,Mahesana,23.52935545,72.45545194,471,2035064,7759,93,74
Gujarat,Narmada,21.70666386,73.68403209,487,590297,576,96,63
Gujarat,Navsari,20.86697332,72.8618487,490,1329672,6726,96,75
Gujarat,Panch Mahals,22.80435607,73.61984598,484,2390776,3456,95,60
Gujarat,Patan,23.80634198,71.75162977,470,1343734,2231,94,62
Gujarat,Porbandar,21.55092352,69.71896988,478,585449,1653,95,67
Gujarat,Rajkot,22.40603378,70.83679439,476,3804558,21785,93,72
Gujarat,Sabar Kantha,23.71803595,73.1363879,472,2428589,5262,95,65
Gujarat,Surat,21.25761373,72.93488716,492,6081322,55694,79,75
Gujarat,Surendranagar,22.82672007,71.48358741,475,1756268,2975,93,62
Gujarat,The Dangs,20.80163388,73.68835184,489,228291,137,101,62
Gujarat,Vadodara,22.26133739,73.4943301,486,4165626,53606,93,69
Gujarat,Valsad,20.44238232,72.91485848,491,1705678,11020,92,69
Haryana,Ambala,30.35036723,76.94970311,70,1128350,12899,88,72
Haryana,Bhiwani,28.72886806,76.02110226,81,1634445,5292,89,65
Haryana,Faridabad,28.1487311,77.32718537,88,1809733,43437,87,70
Haryana,Fatehabad,29.57298319,75.54608717,78,942011,3210,90,59
Haryana,Gurgaon,28.04389479,77.0193513,86,1514432,67087,85,73
Haryana,Hisar,29.23628731,75.84324683,80,1743931,10132,87,64
Haryana,Jhajjar,28.59651868,76.61137143,83,958405,5034,86,71
Haryana,Jind,29.45149822,76.29598576,77,1334152,5263,87,62
Haryana,Kaithal,29.96068539,76.3769893,73,1074304,3724,88,60
Haryana,Karnal,29.70320065,76.87488026,74,1505324,11163,89,65
Haryana,Kurukshetra,30.0565266,76.7877468,72,964655,7356,89,67
Haryana,Mahendragarh,28.13521615,76.14018073,84,922088,2624,89,68
Haryana,Panchkula,30.70089714,76.97173238,69,561293,18615,87,72
Haryana,Panipat,29.34352134,76.92895915,75,1205437,10024,86,65
Haryana,Rewari,28.19164715,76.55956008,85,900332,5121,90,71
Haryana,Rohtak,28.89251765,76.53123235,82,1061204,8482,87,70
Haryana,Sirsa,29.63583446,74.9097048,79,1295189,6287,90,60
Himachal Pradesh,Chamba,32.66741815,76.39354063,23,519080,1615,99,62
Himachal Pradesh,Hamirpur,31.67668481,76.49767089,28,454768,2521,110,79
Himachal Pradesh,Hamirpur,31.67668481,76.49767089,168,1104285,1196,86,59
Uttar Pradesh,Hamirpur,25.73815838,79.8261948,28,454768,2521,110,79
Uttar Pradesh,Hamirpur,25.73815838,79.8261948,168,1104285,1196,86,59
Himachal Pradesh,Kangra,32.14093603,76.41205911,24,1510075,8053,101,76
Himachal Pradesh,Kinnaur,31.60667184,78.51613736,34,84121,354,82,72
